movie,year,imdb,metascore,votes,n_imdb
Gladiator,2000,8.5,67,1054911,85
Memento,2000,8.5,80,904727,85
Snatch,2000,8.3,55,640191,83
Requiem for a Dream,2000,8.4,68,614277,84
X-Men,2000,7.4,64,482938,74
Cast Away,2000,7.7,73,420345,77
American Psycho,2000,7.6,64,381650,76
Unbreakable,2000,7.2,62,271170,72
Meet the Parents,2000,7,73,271137,70
Mission: Impossible II,2000,6.1,59,255607,61
"O Brother, Where Art Thou?",2000,7.8,69,238007,78
Gone in Sixty Seconds,2000,6.5,35,227454,65
"Crouching Tiger, Hidden Dragon",2000,7.9,93,225330,79
The Patriot,2000,7.1,63,217845,71
Almost Famous,2000,7.9,90,216588,79
Pitch Black,2000,7.1,49,200817,71
Scary Movie,2000,6.2,48,195742,62
"Me, Myself & Irene",2000,6.5,49,193486,65
Final Destination,2000,6.7,36,190261,67
The Beach,2000,6.6,43,187252,66
Amores Perros,2000,8.1,83,183988,81
Traffic,2000,7.6,86,175828,76
Remember the Titans,2000,7.8,48,168884,78
What Women Want,2000,6.4,47,166138,64
Chocolat,2000,7.3,64,156419,73
How the Grinch Stole Christmas,2000,6,46,153009,60
Charlie's Angels,2000,5.5,52,150745,55
High Fidelity,2000,7.5,79,148621,75
Chicken Run,2000,7,88,147561,70
Miss Congeniality,2000,6.2,43,146753,62
Battle Royale,2000,7.7,81,145075,77
Erin Brockovich,2000,7.3,73,142674,73
Road Trip,2000,6.5,55,138405,65
The Emperor's New Groove,2000,7.3,70,138066,73
The Perfect Storm,2000,6.4,59,137566,64
"Dude, Where's My Car?",2000,5.5,30,120416,55
Hollow Man,2000,5.7,24,106136,57
The 6th Day,2000,5.9,49,103374,59
Scream 3,2000,5.5,56,103336,55
Billy Elliot,2000,7.7,74,102771,77
What Lies Beneath,2000,6.6,51,101710,66
Shanghai Noon,2000,6.6,77,101665,66
Pay It Forward,2000,7.2,40,100082,72
Coyote Ugly,2000,5.6,27,94102,56
The Whole Nine Yards,2000,6.7,47,93747,67
Men of Honor,2000,7.2,56,93438,72
The Family Man,2000,6.7,42,89571,67
Frequency,2000,7.4,67,86186,74
Bedazzled,2000,6,49,84907,60
Little Nicky,2000,5.3,38,84090,53
Dansând cu noaptea,2000,8,61,83649,80
In the Mood for Love,2000,8.1,85,83049,81
The Cell,2000,6.3,40,82933,63
Finding Forrester,2000,7.3,62,75018,73
Bring It On,2000,5.9,52,73286,59
Malèna,2000,7.5,54,70114,75
Big Momma's House,2000,5.1,33,70008,51
U-571,2000,6.6,62,67903,66
Battlefield Earth,2000,2.4,9,67356,24
The Road to El Dorado,2000,6.9,51,63683,69
Space Cowboys,2000,6.4,73,62748,64
Mission to Mars,2000,5.6,34,62622,56
Shaft,2000,5.9,50,60567,59
Romeo Must Die,2000,6.1,52,58985,61
Wonder Boys,2000,7.4,73,56119,74
The Gift,2000,6.7,62,54409,67
Titan A.E.,2000,6.6,48,53632,66
Vertical Limit,2000,5.9,48,51453,59
The Crimson Rivers,2000,6.9,49,50541,69
Proof of Life,2000,6.2,45,50451,62
The Replacements,2000,6.5,30,50149,65
Red Planet,2000,5.7,34,49204,57
Best in Show,2000,7.5,78,47504,75
The Legend of Bagger Vance,2000,6.7,47,47378,67
Thirteen Days,2000,7.3,67,47106,73
Quills,2000,7.3,70,46166,73
Keeping the Faith,2000,6.4,60,45874,64
Sexy Beast,2000,7.3,79,45223,73
Boiler Room,2000,7,63,43026,70
Nutty Professor II: The Klumps,2000,4.3,38,41120,43
Dinosaur,2000,6.5,56,41064,65
Nine Queens,2000,7.9,80,40710,79
Rules of Engagement,2000,6.4,45,38904,64
28 Days,2000,6,46,36234,60
The Kid,2000,6.1,45,35656,61
Shadow of the Vampire,2000,6.9,71,35199,69
Ginger Snaps,2000,6.8,70,34824,68
Tigerland,2000,7,55,34249,70
Reindeer Games,2000,5.7,37,32559,57
Chopper,2000,7.2,65,32496,72
Small Time Crooks,2000,6.7,69,32456,67
Book of Shadows: Blair Witch 2,2000,4,15,31051,40
Nurse Betty,2000,6.2,69,30605,62
Next Friday,2000,6.1,41,29427,61
Get Carter,2000,5.1,24,28444,51
Dungeons & Dragons,2000,3.6,14,28423,36
Dracula 2000,2000,4.9,26,28266,49
The Way of the Gun,2000,6.7,49,28234,67
Where the Heart Is,2000,6.8,30,28080,68
102 Dalmatians,2000,4.8,35,27910,48
The Skulls,2000,5.6,24,27730,56
The Art of War,2000,5.7,30,25909,57
Vampire Hunter D: Bloodlust,2000,7.7,62,24152,77
Pollock,2000,7,77,23890,70
You Can Count on Me,2000,7.7,85,23830,77
Loser,2000,5.3,35,23732,53
The Watcher,2000,5.3,22,22874,53
Viata si epoca lui Reynaldo Arenas,2000,7.3,85,21463,73
Autumn in New York,2000,5.5,24,21132,55
The Contender,2000,7,59,21022,70
J.S.A.: Joint Security Area,2000,7.9,58,20235,79
Brother,2000,7.2,47,19326,72
Under Suspicion,2000,6.5,43,18965,65
The Million Dollar Hotel,2000,5.9,25,18922,59
State and Main,2000,6.8,75,18753,68
Bounce,2000,5.7,52,18121,57
Together,2000,7.5,84,18086,75
In July,2000,7.8,71,17533,78
The Adventures of Rocky & Bullwinkle,2000,4.2,36,17179,42
My Dog Skip,2000,7,61,17152,70
Return to Me,2000,6.9,54,17036,69
Highlander: Endgame,2000,4.6,21,16960,46
The Yards,2000,6.4,58,16838,64
The Flintstones in Viva Rock Vegas,2000,3.6,27,16466,36
Center Stage,2000,6.7,52,16358,67
Dr. T & the Women,2000,4.6,64,16015,46
Saving Grace,2000,6.9,62,15857,69
Flickering Lights,2000,7.7,47,15673,77
Love & Basketball,2000,7.2,70,15156,72
Supernova,2000,4.8,19,15110,48
Rape Me,2000,4.5,35,15077,45
Boys and Girls,2000,5.4,29,14207,54
Yi Yi,2000,8.1,92,14010,81
The Tigger Movie,2000,6.3,53,13988,63
Songs from the Second Floor,2000,7.7,76,13659,77
Urban Legends: Final Cut,2000,4.1,16,13549,41
The Princess and the Warrior,2000,7.6,64,13292,76
The Dish,2000,7.2,74,13103,72
The Man Who Cried,2000,6.2,40,12884,62
Gossip,2000,5.9,31,12865,59
Down to You,2000,4.9,13,12715,49
Bless the Child,2000,5.1,17,12441,51
Ready to Rumble,2000,5.3,23,12113,53
Drowning Mona,2000,5.6,25,12058,56
Cecil B. DeMented,2000,6.2,57,11754,62
All the Pretty Horses,2000,5.8,55,11722,58
Italian for Beginners,2000,7.1,77,11663,71
Gangster No. 1,2000,6.8,60,11375,68
The Ladies Man,2000,5.1,22,11100,51
Animal Factory,2000,6.6,65,10941,66
The Isle,2000,7.1,61,10689,71
Blood: The Last Vampire,2000,6.7,44,10518,67
Anatomy,2000,6.1,33,10515,61
Hanging Up,2000,4.7,33,10493,47
Snow Day,2000,5,34,9838,50
Lost Souls,2000,4.8,16,9604,48
The Next Best Thing,2000,4.7,25,9600,47
Werckmeister Harmonies,2000,8.3,92,9493,83
Bait,2000,5.7,39,9401,57
Code Unknown,2000,7.2,74,9024,72
Bamboozled,2000,6.5,50,8934,65
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1322098,88
A Beautiful Mind,2001,8.2,72,662566,82
"Monsters, Inc.",2001,8.1,78,634841,81
Donnie Darko,2001,8.1,88,620713,81
Amélie,2001,8.4,69,572464,84
Shrek,2001,7.9,84,495765,79
Harry Potter and the Sorcerer's Stone,2001,7.5,64,484764,75
Spirited Away,2001,8.6,94,459807,86
Ocean's Eleven,2001,7.8,74,425659,78
Training Day,2001,7.7,69,323170,77
Black Hawk Down,2001,7.7,74,307933,77
The Fast and the Furious,2001,6.7,58,289661,67
The Others,2001,7.6,74,284997,76
Pearl Harbor,2001,6.1,44,267554,61
The Mummy Returns,2001,6.3,48,258860,63
Mulholland Drive,2001,8,83,255418,80
A.I. Artificial Intelligence,2001,7.1,65,250757,71
Jurassic Park III,2001,5.9,42,233825,59
Moulin Rouge!,2001,7.6,66,233591,76
The Royal Tenenbaums,2001,7.6,76,221084,76
Hannibal,2001,6.8,57,217652,68
Vanilla Sky,2001,6.9,45,215036,69
Zoolander,2001,6.6,61,211483,66
American Pie 2,2001,6.4,43,208509,64
Blow,2001,7.6,52,207508,76
Enemy at the Gates,2001,7.6,53,200799,76
Bridget Jones's Diary,2001,6.7,66,185405,67
Planet of the Apes,2001,5.7,50,184546,57
Rush Hour 2,2001,6.6,48,168444,66
Lara Croft: Tomb Raider,2001,5.7,33,164669,57
Swordfish,2001,6.5,32,160180,65
K-PAX,2001,7.4,49,156027,74
A Knight's Tale,2001,6.9,56,143543,69
Legally Blonde,2001,6.2,59,141207,62
Jay and Silent Bob Strike Back,2001,6.9,51,132940,69
From Hell,2001,6.8,54,129816,68
I Am Sam,2001,7.6,28,126790,76
Spioni de elita,2001,7.1,63,125793,71
Scary Movie 2,2001,5.3,29,125503,53
Shallow Hal,2001,5.9,48,113195,59
The Score,2001,6.8,71,105517,68
Evolution,2001,6,40,105462,60
The Princess Diaries,2001,6.2,52,101105,62
Ghost World,2001,7.4,88,100089,74
Rat Race,2001,6.4,52,96446,64
Y Tu Mamá También,2001,7.7,88,95956,77
Jeepers Creepers,2001,6.1,49,92199,61
The Mexican,2001,6.1,43,90620,61
Serendipity,2001,6.9,52,89974,69
Behind Enemy Lines,2001,6.4,49,89744,64
The Man Who Wasn't There,2001,7.6,73,89439,76
Spy Kids,2001,5.4,71,88870,54
Not Another Teen Movie,2001,5.7,32,83697,57
Ali,2001,6.8,65,82085,68
The Experiment,2001,7.8,60,81614,78
The One,2001,5.9,25,81070,59
Lagaan: Once Upon a Time in India,2001,8.2,84,80220,82
Super Troopers,2001,7.1,48,79395,71
Atlantis: The Lost Empire,2001,6.8,52,78579,68
Final Fantasy: The Spirits Within,2001,6.4,49,74785,64
Monster's Ball,2001,7.1,69,73779,71
Sweet November,2001,6.7,27,73424,67
Thir13en Ghosts,2001,5.5,30,68087,55
Kate & Leopold,2001,6.4,44,67877,64
Gosford Park,2001,7.3,90,67627,73
The Wedding Planner,2001,5.2,33,64545,52
Frailty,2001,7.3,64,64198,73
Along Came a Spider,2001,6.3,42,61741,63
Shaolin Soccer,2001,7.3,68,60559,73
The Last Castle,2001,6.9,43,59424,69
Bandits,2001,6.5,60,58681,65
Joy Ride,2001,6.6,75,55450,66
Kiss of the Dragon,2001,6.6,58,54730,66
Brotherhood of the Wolf,2001,7.1,57,54268,71
Waking Life,2001,7.8,82,51961,78
The Devil's Backbone,2001,7.5,78,50493,75
Save the Last Dance,2001,6.2,53,49955,62
The Animal,2001,4.8,43,49357,48
America's Sweethearts,2001,5.7,44,49109,57
Cats & Dogs,2001,5.1,47,48172,51
Pacat originar,2001,6,33,46766,60
The Majestic,2001,6.9,27,46497,69
Session 9,2001,6.5,58,45946,65
Heartbreakers,2001,6.2,47,45657,62
How High,2001,6.3,29,44963,63
Ghosts of Mars,2001,4.9,35,44677,49
The Pledge,2001,6.8,71,44472,68
Ichi the Killer,2001,7.1,50,44442,71
Formula 51,2001,6.3,23,43821,63
15 Minutes,2001,6.1,34,43813,61
Joe Dirt,2001,5.9,20,43345,59
Wet Hot American Summer,2001,6.7,42,43138,67
Don't Say a Word,2001,6.3,38,41910,63
The Piano Teacher,2001,7.4,79,41898,74
Jason X,2001,4.4,25,41040,44
Freddy Got Fingered,2001,4.5,13,40801,45
Life as a House,2001,7.5,45,39965,75
No Man's Land,2001,8,84,39131,80
3000 Miles to Graceland,2001,5.9,21,39060,59
Rock Star,2001,6.2,54,35738,62
Dr. Dolittle 2,2001,4.7,49,35521,47
Driven,2001,4.5,29,35368,45
Saving Silverman,2001,5.9,22,34304,59
Cowboy Bebop: The Movie,2001,7.9,61,34039,79
In the Bedroom,2001,7.5,86,33356,75
The Curse of the Jade Scorpion,2001,6.8,52,33329,68
Black Knight,2001,4.8,32,32203,48
The Believer,2001,7.2,75,31852,72
Hearts in Atlantis,2001,6.9,55,31445,69
Wasabi,2001,6.6,53,30885,66
Mean Machine,2001,6.5,45,30678,65
Sex and Lucia,2001,7.2,65,30619,72
Bully,2001,7,45,30421,70
The Shipping News,2001,6.8,47,29468,68
Captain Corelli's Mandolin,2001,5.9,36,29020,59
Heist,2001,6.5,66,28777,65
Exit Wounds,2001,5.5,39,28455,55
Hedwig and the Angry Inch,2001,7.8,85,27349,78
Osmosis Jones,2001,6.2,57,26818,62
The Glass House,2001,5.8,34,26636,58
Bubble Boy,2001,5.6,41,26619,56
One Night at McCool's,2001,6.1,46,26328,61
Antitrust,2001,6.1,31,26159,61
Jimmy Neutron: Boy Genius,2001,6,65,25301,60
The Tailor of Panama,2001,6.1,66,24724,61
Hardball,2001,6.4,48,23585,64
Riding in Cars with Boys,2001,6.5,43,23456,65
Birthday Girl,2001,6.1,51,22145,61
Crazy/Beautiful,2001,6.5,61,21966,65
Domestic Disturbance,2001,5.5,29,21917,55
Buffalo Soldiers,2001,6.9,56,21208,69
Valentine,2001,4.7,18,21169,47
Someone Like You...,2001,6.1,32,20650,61
Impostor,2001,6.2,33,20545,62
Monsoon Wedding,2001,7.4,77,20516,74
Crocodile Dundee in Los Angeles,2001,4.8,37,20507,48
Knockaround Guys,2001,6.1,30,20321,61
Angel Eyes,2001,5.6,39,20123,56
Glitter,2001,2.2,14,19852,22
Down to Earth,2001,5.4,32,19537,54
Josie and the Pussycats,2001,5.3,47,19432,53
Enigma,2001,6.4,64,18184,64
Lost and Delirious,2001,7,53,17681,70
O,2001,6.2,53,17662,62
Metropolis,2001,7.3,75,17618,73
Lantana,2001,7.3,84,16938,73
Tape,2001,7.3,71,16460,73
Millennium Actress,2001,7.9,70,16281,79
Get Over It,2001,5.8,52,16060,58
Human Nature,2001,6.4,56,15918,64
Just Visiting,2001,5.8,38,15816,58
Tomcats,2001,5.3,15,15789,53
Storytelling,2001,6.9,50,15689,69
Made,2001,6.4,62,15510,64
Camera fiului,2001,7.4,73,15350,74
Iris,2001,7.1,76,15274,71
Out Cold,2001,6.3,22,15005,63
Monkeybone,2001,4.7,40,14816,47
The Closet,2001,7.1,72,14569,71
Kissing Jessica Stein,2001,6.6,72,14419,66
Summer Catch,2001,4.9,21,13480,49
The Musketeer,2001,4.7,27,13110,47
What's the Worst That Could Happen?,2001,5.5,37,13025,55
Elling,2001,7.6,70,12687,76
Pulse,2001,6.6,70,12467,66
The Lord of the Rings: The Two Towers,2002,8.7,88,1179003,87
Catch Me If You Can,2002,8.1,76,588007,81
Spider-Man,2002,7.3,73,574616,73
City of God,2002,8.7,79,567842,87
The Pianist,2002,8.5,85,542187,85
Star Wars: Episode II - Attack of the Clones,2002,6.6,54,499842,66
The Bourne Identity,2002,7.9,68,434811,79
Minority Report,2002,7.7,80,421921,77
Harry Potter and the Chamber of Secrets,2002,7.4,63,420536,74
Ice Age,2002,7.6,60,348555,76
Gangs of New York,2002,7.5,72,332570,75
28 Days Later...,2002,7.6,73,314096,76
Signs,2002,6.7,59,287560,67
Men in Black II,2002,6.1,49,280098,61
Equilibrium,2002,7.5,33,272880,75
The Ring,2002,7.1,57,269129,71
Curierul,2002,6.8,51,248924,68
Insomnia,2002,7.2,78,229642,72
Phone Booth,2002,7.1,56,218152,71
Panic Room,2002,6.8,65,216831,68
Red Dragon,2002,7.2,60,212666,72
Resident Evil,2002,6.7,33,212316,67
Road to Perdition,2002,7.7,72,210208,77
8 Mile,2002,7,77,200187,70
Chicago,2002,7.2,82,181736,72
Die Another Day,2002,6.1,56,176519,61
A Walk to Remember,2002,7.4,35,171469,74
Austin Powers in Goldmember,2002,6.2,62,169461,62
Blade II,2002,6.7,52,167776,67
Hero,2002,7.9,85,155295,79
25th Hour,2002,7.7,67,154480,77
xXx,2002,5.8,48,152869,58
Adaptation.,2002,7.7,83,150544,77
About a Boy,2002,7.1,75,149309,71
Bowling for Columbine,2002,8,72,127283,80
Lilo & Stitch,2002,7.2,73,127200,72
Punch-Drunk Love,2002,7.3,78,116070,73
Mr. Deeds,2002,5.8,24,115896,58
Reign of Fire,2002,6.2,39,111824,62
About Schmidt,2002,7.2,85,110877,72
The Count of Monte Cristo,2002,7.7,61,109875,77
We Were Soldiers,2002,7.2,65,109396,72
The Scorpion King,2002,5.5,45,108171,55
The Time Machine,2002,5.9,42,106960,59
My Big Fat Greek Wedding,2002,6.6,62,106702,66
The Hours,2002,7.6,81,106606,76
John Q,2002,7.1,30,104269,71
One Hour Photo,2002,6.8,64,101137,68
Infernal Affairs,2002,8.1,75,97802,81
Bend It Like Beckham,2002,6.7,66,93066,67
Irreversible,2002,7.4,51,92908,74
Van Wilder: Party Liaison,2002,6.4,26,92105,64
Two Weeks Notice,2002,6.1,42,90234,61
Talk to Her,2002,8,86,90214,80
The Sum of All Fears,2002,6.4,45,89716,64
Sweet Home Alabama,2002,6.2,45,87415,62
Ghost Ship,2002,5.5,28,79220,55
The Hot Chick,2002,5.5,29,78075,55
Treasure Planet,2002,7.1,60,77424,71
Scooby-Doo,2002,4.9,35,75718,49
Confessions of a Dangerous Mind,2002,7.1,67,73842,71
Analyze That,2002,5.9,37,72335,59
Maid in Manhattan,2002,5.1,45,71576,51
Secretary,2002,7,63,71052,70
Jackass: The Movie,2002,6.6,42,70704,66
Solaris,2002,6.2,65,69773,62
Unfaithful,2002,6.7,63,66388,67
The Mothman Prophecies,2002,6.5,52,66024,65
The Tuxedo,2002,5.3,30,65695,53
Frida,2002,7.4,61,65397,74
Cabin Fever,2002,5.6,56,64577,56
40 Days and 40 Nights,2002,5.6,53,63909,56
Collateral Damage,2002,5.5,33,63782,55
Star Trek: Nemesis,2002,6.4,51,61475,64
Changing Lanes,2002,6.5,69,59549,65
Windtalkers,2002,6,51,58147,60
Showtime,2002,5.5,32,54228,55
S1m0ne,2002,6.1,49,53488,61
K-19: The Widowmaker,2002,6.7,58,51282,67
Sympathy for Mr. Vengeance,2002,7.7,56,49309,77
Spirit: Stallion of the Cimarron,2002,7.1,52,48577,71
The Sweetest Thing,2002,5.1,32,47874,51
Spy Kids 2: Island of Lost Dreams,2002,5.1,66,47849,51
Queen of the Damned,2002,5.3,30,45707,53
Eight Legged Freaks,2002,5.4,53,45569,54
The Rules of Attraction,2002,6.7,50,45493,67
Murder by Numbers,2002,6.1,50,45475,61
Hart's War,2002,6.3,49,45281,63
I Spy,2002,5.4,35,43158,54
Orange County,2002,6.2,48,42441,62
Bad Company,2002,5.6,37,40822,56
Bubba Ho-Tep,2002,7.2,57,40246,72
Stuart Little 2,2002,5.4,66,39306,54
The Good Girl,2002,6.5,71,39146,65
Kung Pow: Enter the Fist,2002,6.2,14,39143,62
Far from Heaven,2002,7.4,84,37928,74
The Santa Clause 2,2002,5.6,48,37524,56
In America,2002,7.8,76,37421,78
Lilya 4-Ever,2002,7.9,82,36938,79
Dirty Pretty Things,2002,7.4,78,36171,74
Blood Work,2002,6.4,64,35923,64
Death to Smoochy,2002,6.4,38,35531,64
L'auberge espagnole,2002,7.3,65,35526,73
Whale Rider,2002,7.6,80,35323,76
Crossroads,2002,3.4,27,35012,34
Narc,2002,7.2,70,34951,72
Ju-on: The Grudge,2002,6.7,48,33628,67
Spun,2002,6.8,41,33134,68
Dragonfly,2002,6.1,25,32764,61
Enough,2002,5.6,25,32215,56
High Crimes,2002,6.3,48,31794,63
Spider,2002,6.8,83,31237,68
Undercover Brother,2002,5.8,69,30358,58
Big Fat Liar,2002,5.4,36,30120,54
Igby Goes Down,2002,7,72,29702,70
The New Guy,2002,5.9,24,29643,59
Femme Fatale,2002,6.3,59,29606,63
Drumline,2002,5.7,63,29354,57
The Four Feathers,2002,6.5,49,29182,65
Halloween: Resurrection,2002,4.1,19,28425,41
24 Hour Party People,2002,7.4,85,28085,74
May,2002,6.7,58,27954,67
Antwone Fisher,2002,7.3,62,27943,73
The Rookie,2002,7,72,27639,70
The Salton Sea,2002,7.2,41,27335,72
Boat Trip,2002,4.9,18,27332,49
Blue Crush,2002,5.6,61,26838,56
White Oleander,2002,7.2,61,26446,72
The Eye,2002,6.7,66,25498,67
8 femei,2002,7.1,64,24631,71
The Quiet American,2002,7.1,84,24567,71
Rabbit-Proof Fence,2002,7.5,80,24236,75
Undisputed,2002,6.2,58,23584,62
Barbershop,2002,6.3,66,23452,63
The Magdalene Sisters,2002,7.8,83,22993,78
Rollerball,2002,3,14,22816,30
Hollywood Ending,2002,6.6,46,22691,66
City by the Sea,2002,6.1,50,21928,61
Snow Dogs,2002,5.1,29,21330,51
Heaven,2002,7.1,68,21032,71
The Adventures of Pluto Nash,2002,3.8,12,21001,38
Friday After Next,2002,5.8,35,20710,58
Bloody Sunday,2002,7.7,90,20535,77
Trapped,2002,6.2,42,20280,62
Life or Something Like It,2002,5.8,31,20212,58
The Importance of Being Earnest,2002,6.9,60,19657,69
The Twilight Samurai,2002,8.1,82,18837,81
The Master of Disguise,2002,3.3,12,18785,33
Eight Crazy Nights,2002,5.4,23,18778,54
Tuck Everlasting,2002,6.7,66,18704,67
Below,2002,6.2,55,18565,62
The Man Without a Past,2002,7.7,84,18356,77
Big Trouble,2002,6.5,47,17872,65
Dark Blue,2002,6.6,57,17849,66
Feardotcom,2002,3.3,16,17644,33
Darkness,2002,5.4,15,17205,54
Ballistic: Ecks vs. Sever,2002,3.6,19,17111,36
Swimfan,2002,5,29,16866,50
He Loves Me... He Loves Me Not,2002,7.2,63,16740,72
Divine Secrets of the Ya-Ya Sisterhood,2002,6,48,15851,60
Like Mike,2002,5.1,47,15851,51
Gerry,2002,6.2,54,15763,62
Roger Dodger,2002,7,75,15686,70
Russian Ark,2002,7.4,86,15230,74
The Emperor's Club,2002,6.9,49,14908,69
Serving Sara,2002,5.3,18,14835,53
Return to Never Land,2002,5.8,49,14255,58
Dolls,2002,7.7,71,13883,77
The Guru,2002,5.4,47,13852,54
Distant,2002,7.7,84,13724,77
Swept Away,2002,3.6,18,13558,36
The Lord of the Rings: The Return of the King,2003,8.9,94,1300939,89
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,63,863362,80
Kill Bill: Vol. 1,2003,8.1,69,787502,81
Finding Nemo,2003,8.1,90,751696,81
The Matrix Reloaded,2003,7.2,62,439977,72
X-Men 2,2003,7.5,68,432043,75
Oldboy,2003,8.4,74,387207,84
The Matrix Revolutions,2003,6.7,47,381287,67
Big Fish,2003,8,58,364485,80
Mystic River,2003,8,84,354900,80
Love Actually,2003,7.7,55,341156,77
Lost in Translation,2003,7.8,89,338318,78
The Last Samurai,2003,7.7,55,334044,77
Terminator 3: Rise of the Machines,2003,6.4,66,320349,64
Bruce Almighty,2003,6.7,46,313362,67
The Italian Job,2003,7,68,298264,70
Underworld,2003,7,42,221562,70
School of Rock,2003,7.1,82,220615,71
Hulk,2003,5.7,54,220598,57
2 Fast 2 Furious,2003,5.9,38,206078,59
21 Grams,2003,7.7,70,197572,77
Old School,2003,7.2,54,191606,72
Identity,2003,7.3,64,187919,73
Bad Boys II,2003,6.6,38,187157,66
Daredevil,2003,5.3,42,182586,53
Anger Management,2003,6.2,52,177875,62
Master and Commander: The Far Side of the World,2003,7.4,81,175310,74
American Wedding,2003,6.3,43,169043,63
How to Lose a Guy in 10 Days,2003,6.4,45,167797,64
Elf,2003,6.9,64,159579,69
The League of Extraordinary Gentlemen,2003,5.8,30,146452,58
Once Upon a Time in Mexico,2003,6.4,56,135226,64
Final Destination 2,2003,6.2,38,126702,62
S.W.A.T.,2003,6,45,123924,60
Cold Mountain,2003,7.2,73,122732,72
Johnny English,2003,6.1,51,119655,61
Good Bye Lenin!,2003,7.7,68,119349,77
The Recruit,2003,6.6,56,117351,66
Bad Santa,2003,7.1,70,116916,71
Scary Movie 3,2003,5.5,49,116633,55
Dogville,2003,8,60,113310,80
The Texas Chainsaw Massacre,2003,6.2,38,113051,62
Monstru,2003,7.3,74,111319,73
Matchstick Men,2003,7.3,61,110063,73
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,108092,55
Charlie's Angels: Full Throttle,2003,4.8,48,104422,48
Freaky Friday,2003,6.1,70,102735,61
Tears of the Sun,2003,6.6,48,97955,66
Something's Gotta Give,2003,6.7,66,95029,67
Freddy vs. Jason,2003,5.8,37,93176,58
Gothika,2003,5.8,38,92973,58
The Life of David Gale,2003,7.6,31,92727,76
Paycheck,2003,6.3,43,92598,63
Wrong Turn,2003,6.1,32,91841,61
The Dreamers,2003,7.2,62,87225,72
The Rundown,2003,6.7,59,85999,67
Shanghai Knights,2003,6.2,58,85751,62
The Core,2003,5.4,48,79957,54
Intolerable Cruelty,2003,6.3,71,79579,63
Runaway Jury,2003,7.1,61,79506,71
Cheaper by the Dozen,2003,5.8,46,79182,58
Dreamcatcher,2003,5.5,35,78634,55
Memories of Murder,2003,8.1,82,76262,81
Brother Bear,2003,6.8,48,75699,68
Elephant,2003,7.2,70,73820,72
Thirteen,2003,6.8,70,71183,68
"Spring, Summer, Fall, Winter... and Spring",2003,8.1,85,65591,81
Mona Lisa Smile,2003,6.4,45,64568,64
House of 1000 Corpses,2003,6,31,63642,60
Ong-Bak: The Thai Warrior,2003,7.2,69,63096,72
Girl with a Pearl Earring,2003,7,72,62868,70
Holes,2003,7.1,71,61506,71
The Station Agent,2003,7.7,81,60145,77
Just Married,2003,5.4,28,59721,54
Seabiscuit,2003,7.3,72,59375,73
Love Me If You Dare,2003,7.7,45,58405,77
House of Sand and Fog,2003,7.6,71,58135,76
High Tension,2003,6.8,42,57571,68
Peter Pan,2003,6.9,64,56544,69
Open Range,2003,7.5,67,56506,75
Timeline,2003,5.6,28,54517,56
Daddy Day Care,2003,5.5,39,52202,55
Basic,2003,6.5,34,51943,65
What a Girl Wants,2003,5.8,41,50296,58
Kal Ho Naa Ho,2003,8,54,49730,80
Coffee and Cigarettes,2003,7.1,65,49724,71
"Legally Blonde 2: Red, White & Blonde",2003,4.7,47,49326,47
Out of Time,2003,6.5,63,48214,65
Duplex,2003,5.9,50,48153,59
Jeepers Creepers II,2003,5.6,36,47620,56
Stuck on You,2003,5.8,62,45921,58
A Tale of Two Sisters,2003,7.3,65,45388,73
Secondhand Lions,2003,7.6,52,44995,76
The Triplets of Belleville,2003,7.8,91,44212,78
Open Water,2003,5.7,63,44085,57
Bulletproof Monk,2003,5.5,40,43386,55
American Splendor,2003,7.5,90,43143,75
Spy Kids 3: Game Over,2003,4.2,57,42940,42
Gigli,2003,2.4,18,42566,24
The Blind Swordsman: Zatoichi,2003,7.6,75,42124,76
National Security,2003,5.6,31,40613,56
A Man Apart,2003,6.1,36,39870,61
11:14,2003,7.2,65,39423,72
Sinbad: Legend of the Seven Seas,2003,6.7,48,38755,67
The Cat in the Hat,2003,3.8,19,38441,38
Honey,2003,5.3,37,38269,53
Under the Tuscan Sun,2003,6.8,52,38168,68
The Hunted,2003,6,40,37296,60
Swimming Pool,2003,6.8,70,36389,68
Cradle 2 the Grave,2003,5.8,36,36293,58
Down with Love,2003,6.3,52,34355,63
The Haunted Mansion,2003,4.9,34,33879,49
Radio,2003,6.9,38,33430,69
The Return,2003,8,82,33327,80
House of the Dead,2003,2,15,32900,20
Hollywood Homicide,2003,5.3,47,32192,53
The Medallion,2003,5.2,38,31906,52
Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,19,31668,34
Evil,2003,7.8,61,31371,78
Confidence,2003,6.7,59,31110,67
Bringing Down the House,2003,5.6,39,30982,56
Uptown Girls,2003,6.1,33,30351,61
Shattered Glass,2003,7.2,73,29799,72
The Lizzie McGuire Movie,2003,5.4,56,29370,54
The Cooler,2003,7,69,29339,70
The Missing,2003,6.5,55,28698,65
Touching the Void,2003,8.1,82,28409,81
Agent Cody Banks,2003,5,41,28080,50
Darkness Falls,2003,5,23,26870,50
The Human Stain,2003,6.3,57,26309,63
Anything Else,2003,6.4,43,26206,64
